class_idx,aurc_v1,aurc_v2,delta,n,acc_v1,acc_v2
0,0.01164109392360853,0.018221069890522065,0.006579975966913535,100,0.9,0.88
1,0.01767914737721799,0.015341856684970442,-0.0023372906922475463,100,0.88,0.85
2,0.23682380990031285,0.1750341511139759,-0.06178965878633694,100,0.62,0.63
3,0.22680196296888025,0.19725522696547276,-0.029546736003407487,100,0.59,0.62
4,0.18931807513150642,0.12943913534846485,-0.05987893978304157,100,0.67,0.66
5,0.06701855759796549,0.08729720091723492,0.02027864331926943,100,0.77,0.75
6,0.050030495438238995,0.04595677997044186,-0.004073715467797133,100,0.84,0.8
7,0.08367661883349063,0.08437628139694339,0.0006996625634527603,100,0.69,0.68
8,0.02342954403768315,0.03211503580205021,0.008685491764367063,100,0.87,0.83
9,0.026103772709212783,0.018226968649843755,-0.007876804059369028,100,0.85,0.88
10,0.3909224191181408,0.36148793866975415,-0.029434480448386646,100,0.51,0.5
11,0.27483801815555015,0.32838759824053143,0.053549580084981285,100,0.53,0.47
12,0.04093845537560314,0.035932666190930225,-0.0050057891846729125,100,0.8,0.8
13,0.1727383612832811,0.1401101947252709,-0.03262816655801021,100,0.64,0.66
14,0.1164576036303764,0.10281687796899337,-0.013640725661383024,100,0.62,0.66
15,0.029365834607815652,0.02339656046587004,-0.005969274141945612,100,0.82,0.85
16,0.06432095442814437,0.07929767875495833,0.014976724326813962,100,0.75,0.72
17,0.02110314743801768,0.032307269896352776,0.011204122458335096,100,0.89,0.85
18,0.1429243991654381,0.16596812557599552,0.023043726410557436,100,0.6,0.58
19,0.12616738109939768,0.08928748995510499,-0.03687989114429269,100,0.62,0.7
20,0.014394647595443167,0.00929807490133329,-0.005096572694109878,100,0.85,0.9
21,0.014083503859425583,0.009513939580895449,-0.004569564278530135,100,0.89,0.89
22,0.06521249742052232,0.06258568497885358,-0.0026268124416687355,100,0.73,0.72
23,0.06373064500740129,0.05609718692728653,-0.007633458080114758,100,0.78,0.82
24,0.028745274810095308,0.02250229552432136,-0.006242979285773949,100,0.83,0.87
25,0.1574563565403812,0.18070934931128374,0.023252992770902536,100,0.65,0.6
26,0.08091303155458517,0.09615967918909575,0.015246647634510585,100,0.69,0.68
27,0.19519698512437908,0.1829088738762793,-0.012288111248099781,100,0.63,0.56
28,0.03165927061790539,0.023084089621782652,-0.008575180996122738,100,0.8,0.85
29,0.058639965352981535,0.04793041671849549,-0.010709548634486046,100,0.75,0.77
30,0.10638253755480215,0.08895011066435211,-0.017432426890450034,100,0.66,0.75
31,0.10623525884749072,0.10950086309699592,0.0032656042495051996,100,0.72,0.73
32,0.07435730767834907,0.07955395483937337,0.005196647161024304,100,0.7,0.7
33,0.14494554329268627,0.1534906561085761,0.008545112815889822,100,0.66,0.64
34,0.056787387258680926,0.048584269713960036,-0.00820311754472089,100,0.83,0.8
35,0.39611838662337695,0.5764156994739558,0.18029731285057882,100,0.55,0.45
36,0.036828184385589206,0.05330740238503204,0.01647921799944283,100,0.83,0.81
37,0.11388621100754652,0.08703015078795102,-0.026856060219595496,100,0.74,0.73
38,0.12511507606996985,0.10700332838592135,-0.01811174768404851,100,0.63,0.7
39,0.0156681019835083,0.00801781285364876,-0.007650289129859539,100,0.88,0.91
40,0.09162558368552984,0.11287808656688122,0.021252502881351387,100,0.68,0.66
41,0.01277825611998774,0.012790946959204153,1.2690839216412605e-05,100,0.89,0.91
42,0.06650250842596042,0.054088672111105573,-0.012413836314854848,100,0.75,0.8
43,0.032890912358985884,0.032417625317876404,-0.0004732870411094797,100,0.84,0.84
44,0.24402352269934588,0.25731925339428685,0.013295730694940971,100,0.53,0.54
45,0.19686439754197294,0.2236434235238351,0.02677902598186216,100,0.6,0.62
46,0.3486184602675953,0.2528401462225773,-0.09577831404501802,100,0.46,0.54
47,0.14711146642375986,0.20644441346574338,0.059332947041983525,100,0.68,0.64
48,0.005508667776671309,0.003652879864881289,-0.00185578791179002,100,0.93,0.94
49,0.018080284940193682,0.009322120076450367,-0.008758164863743315,100,0.88,0.94
50,0.2766715671713271,0.2710294585907361,-0.005642108580590999,100,0.51,0.55
51,0.06331231571646535,0.04344893727054672,-0.019863378445918636,100,0.74,0.8
52,0.16580985450013355,0.10443875357071654,-0.06137110092941701,100,0.74,0.78
53,0.0024942671368390333,0.003518133480624486,0.0010238663437854528,100,0.96,0.95
54,0.04558025643178071,0.03598111691505952,-0.009599139516721186,100,0.84,0.86
55,0.3381813432481133,0.3503517335663726,0.012170390318259339,100,0.47,0.42
56,0.00981900916783412,0.014558038521416749,0.004739029353582629,100,0.92,0.91
57,0.06751218711867683,0.05545801341200551,-0.012054173706671327,100,0.76,0.78
58,0.019104264076649075,0.012284701335093007,-0.006819562741556068,100,0.89,0.91
59,0.1716875748489027,0.17632078945196425,0.004633214603061542,100,0.62,0.59
60,0.01757295252314368,0.02193792691244448,0.0043649743893008006,100,0.88,0.89
61,0.10985970296395578,0.13060960602836894,0.020749903064413155,100,0.75,0.68
62,0.06439980531809777,0.05219480102944446,-0.012205004288653315,100,0.77,0.81
63,0.09661280319658783,0.10148296759805558,0.004870164401467758,100,0.68,0.64
64,0.1768723649290788,0.18198115400713114,0.005108789078052345,100,0.55,0.54
65,0.18951523080968563,0.2180626205921406,0.02854738978245497,100,0.57,0.53
66,0.02909951639492727,0.019337962236395303,-0.009761554158531967,100,0.81,0.85
67,0.1657032204590803,0.15880612601866584,-0.006897094440414475,100,0.63,0.62
68,0.005462376111363809,0.007947558808579381,0.0024851826972155716,100,0.95,0.91
69,0.058462324309321224,0.05147363916839039,-0.006988685140930838,100,0.76,0.79
70,0.16615649556188974,0.0670417997478788,-0.09911469581401094,100,0.67,0.76
71,0.10568402850341782,0.09989460462594739,-0.0057894238774704315,100,0.85,0.83
72,0.3540567702845721,0.37982219138299633,0.025765421098424224,100,0.47,0.51
73,0.3985457370939145,0.3933199152516561,-0.0052258218422583935,100,0.48,0.48
74,0.2290956278257205,0.20862340871829407,-0.020472219107426415,100,0.53,0.55
75,0.004622775378524151,0.005055014702414353,0.00043223932389020205,100,0.94,0.94
76,0.009332187279523568,0.010298273523239103,0.0009660862437155353,100,0.92,0.9
77,0.08433711054712426,0.07623842510157636,-0.008098685445547898,100,0.7,0.74
78,0.14641555285938834,0.16850032665213124,0.0220847737927429,100,0.67,0.67
79,0.04601450850553628,0.038720697467381424,-0.0072938110381548585,100,0.75,0.82
80,0.2549813220763005,0.1815512400062136,-0.07343008207008689,100,0.49,0.57
81,0.21442819431856602,0.10227986771406822,-0.1121483266044978,100,0.74,0.82
82,0.0031890703523958053,0.004124752256969345,0.0009356819045735396,100,0.94,0.92
83,0.24308661580671198,0.23266825446247227,-0.010418361344239707,100,0.6,0.55
84,0.12705712517474643,0.1089387700041917,-0.018118355170554726,100,0.61,0.7
85,0.02499873755948633,0.02223317505114166,-0.0027655625083446676,100,0.86,0.89
86,0.06414125184390088,0.050515395483149005,-0.013625856360751872,100,0.74,0.79
87,0.037748359243936255,0.024763101488987097,-0.012985257754949159,100,0.85,0.84
88,0.056150774239356396,0.0891208980520133,0.032970123812656904,100,0.79,0.78
89,0.012944757629689684,0.018842916556162725,0.005898158926473041,100,0.87,0.87
90,0.03188227269913925,0.03160075310506602,-0.000281519594073229,100,0.83,0.85
91,0.04605928696455976,0.0409125253339217,-0.005146761630638062,100,0.77,0.82
92,0.19273613566821626,0.2718707117145154,0.07913457604629912,100,0.61,0.57
93,0.16114752727480208,0.11858159641911771,-0.04256593085568437,100,0.56,0.63
94,0.004256666402812258,0.009784986940273847,0.00552832053746159,100,0.93,0.93
95,0.07728595122833981,0.0855649995384536,0.008279048310113793,100,0.75,0.72
96,0.2606429199917405,0.317530856698169,0.0568879367064285,100,0.59,0.53
97,0.022547670650204417,0.025012694368261056,0.0024650237180566387,100,0.85,0.82
98,0.30306695909619286,0.318867698364952,0.015800739268759134,100,0.5,0.51
99,0.05549943857382984,0.0627129653022224,0.0072135267283925525,100,0.77,0.76
