class_idx,n,n_err,acc,aurc,cov50,cov70,cov90,cov95
0,100,12,0.88,0.018221069890522065,0.95,0.89,0.84,0.8
1,100,15,0.85,0.015341856684970442,0.94,0.88,0.76,0.74
2,100,37,0.63,0.1750341511139759,0.87,0.68,0.44,0.37
3,100,38,0.62,0.19725522696547276,0.88,0.59,0.39,0.32
4,100,34,0.66,0.12943913534846485,0.85,0.7,0.5,0.42
5,100,25,0.75,0.08729720091723492,0.95,0.83,0.65,0.61
6,100,20,0.8,0.04595677997044186,0.93,0.83,0.68,0.64
7,100,32,0.68,0.08437628139694339,0.91,0.81,0.64,0.59
8,100,17,0.83,0.03211503580205021,0.96,0.92,0.84,0.79
9,100,12,0.88,0.018226968649843755,0.94,0.84,0.78,0.74
10,100,50,0.5,0.36148793866975415,0.88,0.63,0.35,0.26
11,100,53,0.47,0.32838759824053143,0.79,0.44,0.24,0.19
12,100,20,0.8,0.035932666190930225,0.9,0.81,0.68,0.66
13,100,34,0.66,0.1401101947252709,0.88,0.71,0.54,0.44
14,100,34,0.66,0.10281687796899337,0.88,0.75,0.63,0.58
15,100,15,0.85,0.02339656046587004,0.92,0.86,0.78,0.69
16,100,28,0.72,0.07929767875495833,0.91,0.83,0.69,0.61
17,100,15,0.85,0.032307269896352776,0.98,0.92,0.86,0.81
18,100,42,0.58,0.16596812557599552,0.85,0.65,0.44,0.41
19,100,30,0.7,0.08928748995510499,0.9,0.74,0.57,0.49
20,100,10,0.9,0.00929807490133329,0.97,0.92,0.86,0.84
21,100,11,0.89,0.009513939580895449,0.97,0.92,0.79,0.77
22,100,28,0.72,0.06258568497885358,0.86,0.81,0.69,0.63
23,100,18,0.82,0.05609718692728653,0.97,0.9,0.72,0.68
24,100,13,0.87,0.02250229552432136,0.93,0.83,0.77,0.73
25,100,40,0.6,0.18070934931128374,0.83,0.69,0.51,0.44
26,100,32,0.68,0.09615967918909575,0.83,0.72,0.59,0.55
27,100,44,0.56,0.1829088738762793,0.79,0.56,0.39,0.3
28,100,15,0.85,0.023084089621782652,0.94,0.89,0.79,0.76
29,100,23,0.77,0.04793041671849549,0.89,0.78,0.66,0.62
30,100,25,0.75,0.08895011066435211,0.91,0.72,0.59,0.51
31,100,27,0.73,0.10950086309699592,0.83,0.79,0.62,0.53
32,100,30,0.7,0.07955395483937337,0.85,0.74,0.62,0.55
33,100,36,0.64,0.1534906561085761,0.88,0.67,0.51,0.41
34,100,20,0.8,0.048584269713960036,0.88,0.82,0.7,0.63
35,100,55,0.45,0.5764156994739558,0.72,0.47,0.18,0.07
36,100,19,0.81,0.05330740238503204,0.95,0.84,0.76,0.69
37,100,27,0.73,0.08703015078795102,0.96,0.81,0.64,0.58
38,100,30,0.7,0.10700332838592135,0.8,0.72,0.59,0.52
39,100,9,0.91,0.00801781285364876,0.94,0.89,0.84,0.82
40,100,34,0.66,0.11287808656688122,0.79,0.64,0.54,0.5
41,100,9,0.91,0.012790946959204153,0.95,0.89,0.83,0.8
42,100,20,0.8,0.054088672111105573,0.89,0.8,0.69,0.67
43,100,16,0.84,0.032417625317876404,0.93,0.86,0.81,0.74
44,100,46,0.54,0.25731925339428685,0.84,0.61,0.42,0.34
45,100,38,0.62,0.2236434235238351,0.79,0.66,0.51,0.42
46,100,46,0.54,0.2528401462225773,0.8,0.51,0.3,0.24
47,100,36,0.64,0.20644441346574338,0.98,0.67,0.37,0.3
48,100,6,0.94,0.003652879864881289,0.98,0.95,0.92,0.89
49,100,6,0.94,0.009322120076450367,0.97,0.94,0.86,0.85
50,100,45,0.55,0.2710294585907361,0.85,0.65,0.4,0.28
51,100,20,0.8,0.04344893727054672,0.9,0.85,0.76,0.7
52,100,22,0.78,0.10443875357071654,0.89,0.73,0.29,0.13
53,100,5,0.95,0.003518133480624486,1.0,0.95,0.91,0.86
54,100,14,0.86,0.03598111691505952,0.93,0.82,0.69,0.62
55,100,58,0.42,0.3503517335663726,0.76,0.52,0.24,0.16
56,100,9,0.91,0.014558038521416749,0.96,0.92,0.87,0.79
57,100,22,0.78,0.05545801341200551,0.89,0.79,0.66,0.61
58,100,9,0.91,0.012284701335093007,0.97,0.89,0.79,0.76
59,100,41,0.59,0.17632078945196425,0.89,0.72,0.45,0.29
60,100,11,0.89,0.02193792691244448,0.98,0.92,0.78,0.72
61,100,32,0.68,0.13060960602836894,0.92,0.76,0.57,0.51
62,100,19,0.81,0.05219480102944446,0.92,0.77,0.59,0.48
63,100,36,0.64,0.10148296759805558,0.87,0.71,0.53,0.5
64,100,46,0.54,0.18198115400713114,0.84,0.62,0.47,0.44
65,100,47,0.53,0.2180626205921406,0.8,0.68,0.47,0.4
66,100,15,0.85,0.019337962236395303,0.9,0.82,0.78,0.75
67,100,38,0.62,0.15880612601866584,0.83,0.67,0.45,0.41
68,100,9,0.91,0.007947558808579381,0.99,0.95,0.94,0.91
69,100,21,0.79,0.05147363916839039,0.92,0.88,0.81,0.74
70,100,24,0.76,0.0670417997478788,0.92,0.81,0.64,0.58
71,100,17,0.83,0.09989460462594739,0.99,0.86,0.71,0.57
72,100,49,0.51,0.37982219138299633,0.73,0.55,0.32,0.19
73,100,52,0.48,0.3933199152516561,0.82,0.64,0.3,0.23
74,100,45,0.55,0.20862340871829407,0.76,0.56,0.39,0.32
75,100,6,0.94,0.005055014702414353,0.92,0.92,0.87,0.84
76,100,10,0.9,0.010298273523239103,0.96,0.92,0.85,0.8
77,100,26,0.74,0.07623842510157636,0.87,0.74,0.61,0.57
78,100,33,0.67,0.16850032665213124,0.87,0.78,0.59,0.48
79,100,18,0.82,0.038720697467381424,0.92,0.81,0.73,0.68
80,100,43,0.57,0.1815512400062136,0.79,0.61,0.41,0.36
81,100,18,0.82,0.10227986771406822,0.91,0.8,0.62,0.5
82,100,8,0.92,0.004124752256969345,0.97,0.95,0.92,0.9
83,100,45,0.55,0.23266825446247227,0.9,0.73,0.59,0.5
84,100,30,0.7,0.1089387700041917,0.9,0.82,0.67,0.57
